Composition,Frequency,Novel_Family_ID,Known_System_Function
"(1934, 3141)",3,[1934],Fam3141=RM_Type_IV__Type_IV_REases
"(11751, 12563)",3,[12563],Fam11751=MazEF__MazF
"(11826, 11971)",3,[11971],Fam11826=MazEF__MazF
"(9432, 11211)",3,[9432],Fam11211=RnlAB__RnlB
"(4243, 9253)",3,[4243],Fam9253=Zorya__ZorB
"(116, 4087)",3,[4087],Fam116=Wadjet__JetC_III
"(4803, 5447)",3,[5447],Fam4803=Zorya__ZorB
"(969, 8421)",3,[8421],Fam969=Zorya__ZorA
"(2325, 6666)",3,[2325],Fam6666=PsyrTA__PsyrA
"(938, 1970)",3,[1970],Fam938=RM_Type_III__Type_III_REases
"(7684, 8395)",3,[8395],Fam7684=AbiEii__AbiEii
"(4128, 10273)",3,[10273],Fam4128=Thoeris_I__ThsA_new_grand
"(8038, 9724)",3,[9724],Fam8038=AbiEii__AbiEii
"(6990, 10154)",3,[10154],Fam6990=cas1_I_II_III_IV_V_VI_1
"(233, 2239)",3,[2239],Fam233=MADS__mad8
"(12107, 12274)",3,[12107],Fam12274=PfiAT__PfiA
"(1068, 2087)",3,[1068],Fam2087=Shango__SngC
"(8627, 10131)",3,[10131],Fam8627=AbiEii__AbiEii
"(4030, 8053)",3,[8053],Fam4030=AbiEii__AbiEii
"(11957, 12321)",3,[11957],Fam12321=PfiAT__PfiA
"(5840, 7195)",3,[5840],Fam7195=Zorya__ZorB
"(12190, 12321)",3,[12190],Fam12321=PfiAT__PfiA
"(9346, 10091)",3,[10091],Fam9346=AbiEii__AbiEii
"(6200, 10492)",3,[10492],Fam6200=Butters_gp30_gp31__Butters_gp30
"(11784, 11971)",3,[11971],Fam11784=MazEF__MazF
"(6257, 8148)",3,[8148],Fam6257=AbiEii__AbiEii
"(3420, 9238)",3,[3420],Fam9238=Zorya__ZorB
"(2672, 5668)",3,[2672],Fam5668=Zorya__ZorB
"(5594, 7751)",3,[5594],Fam7751=AbiEii__AbiEii
"(6855, 10549)",3,[10549],Fam6855=ShosTA__ShosA
"(5763, 8111)",3,[8111],Fam5763=AbiEii__AbiEii
"(7134, 8298)",3,[8298],Fam7134=Gao_TerY__TerYA
"(4854, 7718)",3,[7718],Fam4854=BREX__brxD
"(5763, 8592)",3,[8592],Fam5763=AbiEii__AbiEii
"(6725, 10154, 12233)",3,[10154],Fam6725=cas1_I_II_III_IV_V_VI_1; Fam12233=cas2_I_II_III_IV_V_VI_3
"(186, 7234)",3,[7234],Fam186=Mokosh_type_I__MkoA_E
"(2302, 5518)",3,[2302],Fam5518=CBASS__Phospholipase
"(4989, 5444)",3,"[4989, 5444]",Pure_Novel_System
"(2189, 2808)",3,[2808],Fam2189=RM_Type_II__Type_II_REases
"(11698, 12539)",3,[12539],Fam11698=MazEF__MazF
"(7964, 10428)",3,[10428],Fam7964=AbiEii__AbiEii
"(7998, 10721)",3,[10721],Fam7998=AbiEii__AbiEi_3
"(8737, 9930)",3,[9930],Fam8737=AbiEii__AbiEii
"(4671, 4671)",3,[4671],Pure_Novel_System
"(8322, 8484)",3,[8484],Fam8322=AbiEii__AbiEii
"(6725, 10154)",3,[10154],Fam6725=cas1_I_II_III_IV_V_VI_1
"(3752, 7042, 10221)",3,[10221],Fam3752=Zorya__ZorA2; Fam7042=Zorya__ZorB
"(949, 7827)",3,[7827],Fam949=RM_Type_III__Type_III_REases
"(11776, 12446)",3,[11776],Fam12446=PfiAT__PfiA
"(4593, 5447)",3,[5447],Fam4593=Zorya__ZorB
"(5760, 11435)",3,[11435],Fam5760=CBASS__Jab
"(4510, 9850)",3,[9850],Fam4510=SanaTA__SanaT
"(5207, 8675)",3,[8675],Fam5207=SanaTA__SanaT
"(1032, 4820, 4945, 9830)",3,"[4945, 9830]",Fam1032=Wadjet__JetC_III; Fam4820=Wadjet__JetD_I
"(8363, 9520)",3,[9520],Fam8363=AbiEii__AbiEii
"(4233, 7046)",3,[7046],Fam4233=RM_Type_II__Type_II_MTases
"(3276, 3711)",3,[3711],Fam3276=RM__Type_I_MTases
"(7567, 7696)",3,[7567],Fam7696=AbiEii__AbiEii
"(2028, 2247)",3,[2028],Fam2247=Eleos__LeoA
"(85, 2168)",3,[85],Fam2168=Druantia_II__DruF
"(11955, 12398)",3,[11955],Fam12398=PfiAT__PfiA
